,movie_title,imdb_score_scaled,budget_scaled,num_voted_users_scaled,movie_facebook_likes_scaled,cast_total_facebook_likes_scaled,num_critic_for_reviews_scaled,gross_scaled,Approved,G,GP,M,NC-17,Not Rated,PG,PG-13,Passed,R,TV-14,TV-G,TV-MA,TV-PG,TV-Y7,Unrated,X,unknown
0,Avatar ,1.3624460810759045,4.714878387449995,5.399976099283256,1.2439410683865795,-0.3035114391874568,4.698235802446708,9.833675664603058,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Pirates of the Caribbean: At World's End ,0.6512513283936222,6.190884218144852,2.581764554278555,-0.3948651125392976,1.8769956972590631,1.2845485183693786,3.544092709026549,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,The Dark Knight Rises ,1.8958421455876155,5.019451019180679,7.1529916390310495,7.749504998728697,4.803763813186649,5.428002680277966,5.4783168023121105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,John Carter ,0.2067546079671961,5.340423715696863,0.822752444074456,0.7969939281340676,-0.4518817312873315,2.5819118567360593,0.24879483033321362,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Spider-Man 3 ,-0.14884276837394428,5.206880331014947,1.9830311027387495,-0.3948651125392976,1.7619974465433548,2.0143153962006366,3.922304936715019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Tangled ,1.2735467369906188,5.253737658973514,1.3837407782913373,1.0452978949410185,-0.44371409953715263,1.4629359773947972,2.0299570807562604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Avengers: Age of Ultron ,1.0068487047347634,5.019451019180679,2.5236935758279753,5.465108504104747,4.064217328518613,3.984685966345033,5.629748044503407,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Batman v Superman: Dawn of Justice ,0.4734526402230524,5.019451019180679,1.9054967370540035,9.388311179654574,0.6794104283678087,4.2928097592071195,3.8347273754436775,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Superman Returns ,-0.23774211245923,4.058875796030058,1.0142080661629522,-0.3948651125392976,0.957059799703643,2.3548732725218904,2.0196693917638617,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Pirates of the Caribbean: Dead Man's Chest ,0.8290500165641927,4.4337344196985935,2.926889934334506,-0.14656114573234652,1.8838104084125864,1.373742247882088,5.128382313431016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,The Lone Ranger ,0.1178552638819112,4.199447779905759,0.616220506682453,1.9888529688074326,1.7470652118098988,2.4846096063585583,0.47510227935670946,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,Man of Steel ,0.7401506724789079,4.4337344196985935,3.1070790667434895,5.465108504104747,0.48123261504291703,4.779321011094625,3.2877895136359787,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,The Chronicles of Narnia: Prince Caspian ,0.2067546079671961,4.4337344196985935,0.3997870973478767,-0.3948651125392976,0.5915708059257012,0.9277736003185414,1.2046425425349696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,The Avengers ,1.5402447692464745,4.316591099802176,6.141642527486532,5.713412470911699,3.8486018719479413,4.536065385150873,7.920368294882737,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Pirates of the Caribbean: On Stranger Tides ,0.2956539520524818,5.019451019180679,1.8991470276806797,2.4854609024213348,2.1642658372822248,2.468392564628975,2.5912436149911624,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Men in Black 3 ,0.3845532961377667,4.4337344196985935,1.202716336520943,1.591566621916311,0.08422558217992922,2.49271812722335,1.7261953748286523,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,The Amazing Spider-Man ,0.5623519843083373,4.550877739595011,2.4499011244370275,2.3861393156985544,0.8817973279934059,3.69277921521253,2.8835775917854325,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,Robin Hood ,0.2956539520524818,3.848017820216507,0.8197711366788527,0.44936837460433604,-0.3831834298793855,1.6169978738258406,0.6972073100312596,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,The Hobbit: The Desolation of Smaug ,1.3624460810759045,4.4337344196985935,2.6654313130799974,3.72698073645609,-0.08714436006308711,2.963012337381272,2.832333801085695,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,The Golden Compass ,-0.23774211245923,3.379444540630838,0.39365470423118004,-0.3948651125392976,0.6621732178030141,0.8710139542649991,0.2073130185078047,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Titanic ,1.184647392905334,3.848017820216507,4.767416014172835,0.896315514856848,1.7203074488982701,1.3899592896116715,8.413839436902931,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,Captain America: Civil War ,1.6291441133317592,5.019451019180679,1.233385093237446,3.1807120094807977,2.7011748814734293,3.0197719834348145,4.9075945766497195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,Battleship ,-0.4155408006297998,4.058875796030058,0.7560499355559681,1.7902097953618716,0.7911015398472483,1.8926875832287602,0.13884927604245725,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,Jurassic World ,0.5623519843083373,2.676584621252335,2.221793757441763,7.0542538916692346,-0.12191943021415533,4.057662654128159,8.323281062313935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,Spider-Man 2 ,0.8290500165641927,3.848017820216507,2.1739162696535996,-0.3948651125392976,1.62835895649595,1.268331476639795,4.4360604304026925,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Iron Man 3 ,0.7401506724789079,3.848017820216507,3.167628808746222,4.322910256792772,0.9788568537608687,3.765755902995656,4.932621612980031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,Alice in Wonderland ,0.1178552638819112,3.848017820216507,1.4619067193469062,0.7969939281340676,3.4607646342400624,2.49271812722335,3.889607914549377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,Monsters University ,0.8290500165641927,3.848017820216507,0.9777328907146934,1.7902097953618716,0.19902340021465156,1.8845790623639684,2.9736149967799004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Transformers: Revenge of the Fallen ,-0.3266414565445149,3.848017820216507,1.5765885826488513,-0.3948651125392976,-0.38448624230579437,1.803493853716051,4.836199601165878,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,Transformers: Age of Extinction ,-0.5933394888003704,4.082304460009341,1.0279533193946178,2.3861393156985544,-0.34590295121599246,1.900796104093552,2.6520932819135403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Oz the Great and Powerful ,0.028955919796626303,4.199447779905759,0.5728727046183614,2.584782489144115,3.134259796913894,3.09274867121794,2.5053453423563568,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,The Amazing Spider-Man 2 ,0.2956539520524818,3.848017820216507,1.563142139270048,1.641227415277701,0.8889126881684084,2.8494930452741873,2.058493233867529,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,TRON: Legacy ,0.3845532961377667,3.145157900838004,1.175748747300121,1.0949586883024087,0.7345294156389544,2.638671502789602,1.62902765077594,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,Cars 2 ,-0.05994342428865939,3.848017820216507,0.06876010944061,0.10174282107460454,-0.3211495151142234,1.300765560098962,1.8995036312275957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Green Lantern ,-0.6822388328856561,3.848017820216507,0.8987384314307337,0.7969939281340676,0.3390256278833614,2.371090314251474,0.8557841803832971,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,Toy Story 3 ,1.7180434574170458,3.848017820216507,3.082026577034194,1.0949586883024087,0.4105800949953577,2.5089351689529336,5.016169506157377,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Terminator Salvation ,0.2067546079671961,3.848017820216507,1.324556054025544,-0.3948651125392976,0.8306368861717336,2.2575710221443894,0.9774596442977489,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Furious 7 ,0.7401506724789079,3.613731180423673,1.2711573750924479,4.273249463431382,3.42032734085114,2.273788063873973,4.110584686678261,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,World War Z ,0.5623519843083373,3.613731180423673,2.5396527384240297,6.01137723108004,1.07736951646548,4.138747862776077,2.0514895007305674,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,X-Men: Days of Future Past ,1.4513454251611895,3.848017820216507,2.8731381164843905,3.6773199430947,4.035856104159097,3.2062679633250246,2.491568683808054,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,Star Trek Into Darkness ,1.2735467369906188,3.613731180423673,2.068035714745053,4.173927876708602,0.5271316989887074,3.619802527429404,2.41964164032751,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,Jack the Giant Slayer ,-0.05994342428865939,3.73087450032009,0.10433206419726236,0.6976723414112871,-0.45724330550370657,1.5764552695018819,0.138831150511268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,Prince of Persia: The Sands of Time ,0.2067546079671961,3.848017820216507,0.8920152097413321,0.7473331347726774,0.26346250715164543,1.3169826018285455,0.49553857874642027,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,Pacific Rim ,0.5623519843083373,3.613731180423673,1.9700736209373573,3.72698073645609,0.41463885678532386,3.498174714457528,0.649324494751797,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,Transformers: Dark of the Moon ,-0.05994342428865939,3.73087450032009,1.596778621116115,1.889531382084652,-0.4158038487098544,2.30622214733314,4.142996887035338,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,Indiana Jones and the Kingdom of the Crystal Skull ,-0.14884276837394428,3.4965878605272556,1.6488462379773698,-0.14656114573234652,0.20383378455831516,2.6467800236543937,3.650154422093085,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,The Good Dinosaur ,0.3845532961377667,,-0.19162551279680218,0.5983507546885067,-0.5108590476674573,1.2521144349102116,0.9460932034339942,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,Brave ,0.7401506724789079,3.4965878605272556,1.2394020370928094,1.5419058285549208,-0.294942942075306,2.792733399220645,2.538516542360626,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,Star Trek Beyond ,1.0068487047347634,3.4965878605272556,-0.25430087943466867,1.0949586883024087,-0.4792407922419183,1.4467189356652137,1.0492454341194635,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,WALL·E ,1.8069428015023306,3.379444540630838,4.26336453919226,0.3997075812429458,-0.3966625276756929,2.2494625012795977,2.3506343550099458,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Rush Hour 3 ,-0.14884276837394428,2.4422979814595007,0.20394440332872035,-0.3948651125392976,-0.4893626426317105,0.14935559729853282,1.1832659463580253,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,2012 ,-0.5044401447150855,3.848017820216507,1.3063761909320812,0.25072520115877517,-0.4383024171505311,1.8116023745808427,1.5462132141895262,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,A Christmas Carol ,0.3845532961377667,3.848017820216507,-0.12389754319235505,-0.3948651125392976,1.9034528111492128,0.7818202247522897,1.152163176202209,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,Jupiter Ascending ,-0.8600375210562259,3.2857298847137044,0.3296414843884528,1.7902097953618716,1.826085796288623,1.9494472292823026,-0.1093008602211565,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,The Legend of Tarzan ,0.2067546079671961,3.379444540630838,-0.330599258909848,1.0452978949410185,0.5153061708105343,0.8466883916706238,0.959776878007296,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",0.4734526402230524,3.379444540630838,1.3273472096965988,-0.3948651125392976,-0.4797418739443833,1.138595142803127,3.29738600641055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,X-Men: Apocalypse ,0.8290500165641927,3.3325872126722715,0.3893083790986375,2.2868177289757736,1.9438399963678887,2.0467494796598036,1.3910714945084768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,The Dark Knight ,2.340338866014042,3.4965878605272556,10.764733495109695,1.4425842418321404,2.3506181224289433,4.065771174992951,6.6660329322770915,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,Up ,1.7180434574170458,3.262301220734421,3.901655212302451,0.9459763082182382,-0.4136993055595015,2.1440517300373045,3.315089226665814,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,Monsters vs. Aliens ,0.1178552638819112,3.262301220734421,0.15959151357772824,-0.3948651125392976,-0.4165053630933053,0.6115412865916628,1.9954469895911897,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,Iron Man ,1.3624460810759045,2.4422979814595007,4.110570837384333,0.10174282107460454,1.4211115643564425,2.7765163574910616,3.668099618189726,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,Hugo ,1.0068487047347634,3.145157900838004,1.0477358898807057,1.6908882086390913,1.2590116336090278,4.365786446990246,0.25941102366434327,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,Wild Wild West ,-1.3934335855679376,3.145157900838004,0.26178448325663334,-0.3948651125392976,0.24948232765287304,-0.47500050929043236,0.8160783499319606,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,The Mummy: Tomb of the Dragon Emperor ,-1.0378362092267965,2.5594413013559176,0.18250479638585065,-0.3948651125392976,-0.08819663163826352,0.9764247255072919,0.6547716769838068,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,Suicide Squad ,0.4734526402230524,3.262301220734421,0.18973735305172212,3.5779983563719195,0.019836583413181855,2.2251369386852224,1.4761512878683567,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,Evan Almighty ,-0.8600375210562259,3.262301220734421,0.16329947220642854,-0.29554352581651716,4.866749783186494,0.34396009805353495,0.6284690912528416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,Edge of Tomorrow ,1.3624460810759045,3.3325872126722715,2.3128356867024884,3.4290159762877486,0.0882342357996489,3.5792599231054454,0.6270721844495181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,Waterworld ,-0.23774211245923,3.262301220734421,0.36185861943342396,-0.3948651125392976,-0.4954257312315365,-0.4263493841016818,0.4605504057821585,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,G.I. Joe: The Rise of Cobra ,-0.5044401447150855,3.262301220734421,0.5672292730790758,-0.3948651125392976,0.7913019725282343,0.8629054334002073,1.3239030582727789,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,Inside Out ,1.7180434574170458,3.262301220734421,1.7259323888828226,5.465108504104747,-0.39821588095333427,3.1819424007306494,4.200100508598683,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,Iron Man 2 ,0.5623519843083373,3.848017820216507,2.9291377993639927,0.4990291679657263,1.891426850290054,2.5089351689529336,3.581086653272214,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,Snow White and the Huntsman ,-0.23774211245923,3.145157900838004,0.9337874689448771,2.2371569356143834,3.1061992215758565,2.208919896955639,1.3928384270596708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,Maleficent ,0.5623519843083373,3.379444540630838,1.0947576949083997,4.024945496624431,0.23174403538561344,2.0872920839837623,2.59603228273235,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,Dawn of the Planet of the Apes ,1.0957480488200482,3.145157900838004,1.5381168140928307,1.8398705887232618,0.17396931509140356,3.060314587758773,2.13782536551643,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,47 Ronin ,-0.05994342428865939,3.262301220734421,0.17616866927856606,1.3432626551093598,0.5047834550587701,0.6034327657268711,-0.23587314552713073,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,Captain America: The Winter Soldier ,1.2735467369906188,3.145157900838004,2.7551353891358623,2.336478522337164,1.2675801307211787,3.5062832353223197,2.8517365408588455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,Shrek Forever After ,0.028955919796626303,3.028014580941587,0.3233121484141878,-0.3948651125392976,-0.313833722258235,0.6683009326452052,2.553711384297325,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,Tomorrowland ,0.1178552638819112,3.613731180423673,0.2529899659962544,1.4425842418321404,-0.2928885070951997,2.427849960305016,0.5326571848185185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,Big Hero 6 ,1.3624460810759045,3.028014580941587,1.2770045406223216,1.641227415277701,-0.3972638257186509,1.9494472292823026,2.332241430407498,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,Wreck-It Ralph ,1.2735467369906188,3.028014580941587,1.2324614991467806,1.591566621916311,-0.3227028683918648,1.8926875832287602,1.8710856147515325,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,The Polar Express ,0.2067546079671961,3.028014580941587,0.20200213928511543,0.10174282107460454,0.2692249467299925,0.3601771397831185,-0.7605637582385673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Independence Day: Resurgence ,-0.771138176970941,3.028014580941587,-0.2235370468558914,2.932408042673847,-0.38373461975209694,1.1548121845327106,0.6567150127816211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,How to Train Your Dragon ,1.6291441133317592,3.028014580941587,2.678266554487037,1.2439410683865795,0.4791280718925642,1.171029226262294,2.261137564897272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,Terminator 3: Rise of the Machines ,0.028955919796626303,3.848017820216507,1.4552514089877004,-0.3948651125392976,-0.4570929809929671,1.10616105934396,1.326448468445835,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,Guardians of the Galaxy ,1.5402447692464745,3.145157900838004,4.01425219776738,4.372571050154162,1.0796744922968187,4.130639341911285,3.874905180784466,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,Interstellar ,1.9847414896729005,3.028014580941587,5.685359882165807,16.93675177058589,1.0320717305626474,4.609042072933998,1.8512696965235647,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,Inception ,2.162540177843472,2.9108712610451697,9.352388352156996,8.29577372570399,3.518789895385505,4.041445612398576,3.309362883368057,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,The Hobbit: An Unexpected Journey ,1.3624460810759045,3.379444540630838,3.70926920499027,7.848826585451477,-0.08714436006308711,4.065771174992951,3.4548185701504606,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,The Fast and the Furious ,0.2956539520524818,0.05257425557258863,1.2303494567776858,0.3003859945201654,1.7255186986039057,0.3520686189183267,1.2450525359302924,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,The Curious Case of Benjamin Button ,1.2735467369906188,2.676584621252335,2.5011266408038524,0.7473331347726774,0.12235789973751267,1.771059770256884,1.0077264788978328,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
