,movie_title,imdb_score_scaled,budget_scaled,num_voted_users_scaled,movie_facebook_likes_scaled,cast_total_facebook_likes_scaled,num_critic_for_reviews_scaled,gross_scaled,content_rating
0,Avatar ,1.362446081,4.714878387,5.399976099,1.243941068,-0.303511439,4.698235802,9.833675665,PG-13
1,Pirates of the Caribbean: At World's End ,0.651251328,6.190884218,2.581764554,-0.394865113,1.876995697,1.284548518,3.544092709,PG-13
3,The Dark Knight Rises ,1.895842146,5.019451019,7.152991639,7.749504999,4.803763813,5.42800268,5.478316802,PG-13
5,John Carter ,0.206754608,5.340423716,0.822752444,0.796993928,-0.451881731,2.581911857,0.24879483,PG-13
6,Spider-Man 3 ,-0.148842768,5.206880331,1.983031103,-0.394865113,1.761997447,2.014315396,3.922304937,PG-13
7,Tangled ,1.273546737,5.253737659,1.383740778,1.045297895,-0.4437141,1.462935977,2.029957081,PG
8,Avengers: Age of Ultron ,1.006848705,5.019451019,2.523693576,5.465108504,4.064217329,3.984685966,5.629748045,PG-13
10,Batman v Superman: Dawn of Justice ,0.47345264,5.019451019,1.905496737,9.38831118,0.679410428,4.292809759,3.834727375,PG-13
11,Superman Returns ,-0.237742112,4.058875796,1.014208066,-0.394865113,0.9570598,2.354873273,2.019669392,PG-13
13,Pirates of the Caribbean: Dead Man's Chest ,0.829050017,4.43373442,2.926889934,-0.146561146,1.883810408,1.373742248,5.128382313,PG-13
14,The Lone Ranger ,0.117855264,4.19944778,0.616220507,1.988852969,1.747065212,2.484609606,0.475102279,PG-13
15,Man of Steel ,0.740150672,4.43373442,3.107079067,5.465108504,0.481232615,4.779321011,3.287789514,PG-13
16,The Chronicles of Narnia: Prince Caspian ,0.206754608,4.43373442,0.399787097,-0.394865113,0.591570806,0.9277736,1.204642543,PG
17,The Avengers ,1.540244769,4.3165911,6.141642527,5.713412471,3.848601872,4.536065385,7.920368295,PG-13
18,Pirates of the Caribbean: On Stranger Tides ,0.295653952,5.019451019,1.899147028,2.485460902,2.164265837,2.468392565,2.591243615,PG-13
19,Men in Black 3 ,0.384553296,4.43373442,1.202716337,1.591566622,0.084225582,2.492718127,1.726195375,PG-13
21,The Amazing Spider-Man ,0.562351984,4.55087774,2.449901124,2.386139316,0.881797328,3.692779215,2.883577592,PG-13
22,Robin Hood ,0.295653952,3.84801782,0.819771137,0.449368375,-0.38318343,1.616997874,0.69720731,PG-13
23,The Hobbit: The Desolation of Smaug ,1.362446081,4.43373442,2.665431313,3.726980736,-0.08714436,2.963012337,2.832333801,PG-13
24,The Golden Compass ,-0.237742112,3.379444541,0.393654704,-0.394865113,0.662173218,0.871013954,0.207313019,PG-13
26,Titanic ,1.184647393,3.84801782,4.767416014,0.896315515,1.720307449,1.38995929,8.413839437,PG-13
27,Captain America: Civil War ,1.629144113,5.019451019,1.233385093,3.180712009,2.701174881,3.019771983,4.907594577,PG-13
28,Battleship ,-0.415540801,4.058875796,0.756049936,1.790209795,0.79110154,1.892687583,0.138849276,PG-13
